Name,Team,BsR,NameASCII,PlayerId,MLBAMID
"Yordan Alvarez","HOU",-2.9097925573587418,"Yordan Alvarez",19556,670541
"Adley Rutschman","BAL",-2.991651050746441,"Adley Rutschman",26288,668939
"Carson Kelly","- - -",-2.9966366961598396,"Carson Kelly",13620,608348
"Alec Burleson","STL",-3.048915959894657,"Alec Burleson",27615,676475
"Tommy Pham","- - -",-3.051082983613014,"Tommy Pham",2967,502054
"Jo Adell","LAA",-3.0582287460565567,"Jo Adell",20220,666176
"Kyle Farmer","MIN",-3.1588935181498528,"Kyle Farmer",14813,571657
"Donovan Solano","SDP",-3.171602003276348,"Donovan Solano",8623,456781
"Christian Walker","ARI",-3.1883537992835045,"Christian Walker",13419,572233
"Rhys Hoskins","MIL",-3.328703097999096,"Rhys Hoskins",16472,656555
"Tyler Stephenson","CIN",-3.401927411556244,"Tyler Stephenson",17988,663886
"Victor Caratini","HOU",-3.4025667160749435,"Victor Caratini",14968,605170
"Nolan Schanuel","LAA",-3.485333003103733,"Nolan Schanuel",33189,694384
